Site_Chr	Peak Id	Site_Pos	Mapped_Chr	Mapped_Pos	0	10	20	30	40	50	60	90	120	150	Val_init	Val_fit	SSR	BGD	Residency in Minutes	0	10	20	30	40	50	60	90	120	150
chrX	Peak683	380704	chrX	380888	-0.182686	-0.135344	0.13149	-0.281894	-0.099413	0.092821	0.148791	0.05531	-0.045071	-0.175262	2.00E-03	1.35E-01	9.70E-02	9.62E-01	0.123276897169809	-0.108795	-0.108795	-0.108795	-0.108796	-0.090163	-0.063283	-0.04009	0.003365	0.024785	0.044196
chrII	Peak694	426903	chrII	427788	-0.081536	-0.225369	-0.015116	-0.027361	-0.012994	-0.048087	0.009231	0.191361	-0.076755	-0.01885	4.00E-03	6.51E-02	3.89E-02	9.71E-01	0.255948564576463	-0.08497	-0.08497	-0.08497	-0.084968	-0.070615	-0.049688	-0.031562	0.002514	0.019282	0.034437
chrXIV	Peak707	427428	chrXIV	427367	-0.117709	-0.341182	0.011423	-0.176963	-0.003364	-0.11571	0.026003	0.097453	0.105542	0.161914	4.00E-03	3.72E-02	4.76E-02	9.48E-01	0.448245446296923	-0.150578	-0.150578	-0.150578	-0.150587	-0.12562	-0.088744	-0.056504	0.004025	0.033949	0.06093
chrII	Peak713	140631	chrII	140928	-0.314696	-0.17713	0.033346	-0.159589	-0.143387	0.005156	-0.027935	-0.015183	-0.082106	0.085685	1.00E-04	6.01E-02	3.58E-02	9.48E-01	0.277492145862303	-0.149143	-0.149143	-0.149143	-0.149144	-0.123983	-0.087275	-0.055399	0.004291	0.033695	0.060509
chrV	Peak735	192139	chrV	192326	-0.562379	-0.686271	-0.632344	-0.374793	-0.356619	0.067902	0.223781	0.041491	-0.245372	0.047582	1.00E-04	4.50E-02	2.49E-01	8.09E-01	0.370477561878274	-0.559055	-0.559055	-0.559055	-0.559043	-0.463952	-0.325805	-0.206906	0.014564	0.124978	0.223878
chrVII	Peak738	801877	chrVII	801811	-0.13919	-0.170896	-0.138304	-0.022268	-0.20498	0.293839	-0.039917	-0.040798	0.004163	0.040164	4.00E-03	6.87E-02	8.52E-02	9.60E-01	0.242504983356155	-0.11654	-0.11654	-0.11654	-0.116536	-0.096823	-0.068129	-0.043255	0.003311	0.026334	0.047341
chrIV	Peak741	1507418	chrIV	1507374	-0.203892	-0.306252	0.006046	-0.038191	0.132638	0.004338	0.185172	0.15257	-0.04447	-0.144281	1.00E-03	1.04E-01	1.17E-01	9.55E-01	0.160957970332871	-0.130121	-0.130121	-0.130121	-0.130122	-0.107908	-0.07579	-0.048039	0.003915	0.029475	0.052807
chrXII	Peak744	416854	chrXII	417217	-0.100086	-0.096009	-0.283816	-0.286065	-0.024941	-0.102111	-0.077876	0.018677	-0.078528	0.010277	4.00E-03	5.83E-02	2.95E-02	9.35E-01	0.286117580706474	-0.188469	-0.188469	-0.188469	-0.188469	-0.156672	-0.110273	-0.070012	0.005353	0.042654	0.076396
chrVII	Peak759	516428	chrVII	516242	-0.175283	-0.051222	0.227507	-0.130221	0.113702	0.061027	0.387358	0.186415	-0.233567	-0.109731	4.00E-03	3.60E-01	2.09E-01	9.92E-01	0.046295228934074	-0.023558	-0.023558	-0.023558	-0.023558	-0.019497	-0.013666	-0.008662	0.000745	0.005352	0.009603
chrXIII	Peak771	353153	chrXIII	353018	-0.051727	-0.182956	0.180678	-0.306054	-0.079949	0.167446	0.135508	-0.050492	-0.191609	0.009903	4.00E-03	5.32E-02	1.17E-01	9.73E-01	0.313364729972359	-0.078585	-0.078585	-0.078585	-0.078584	-0.065388	-0.046067	-0.029302	0.002207	0.017732	0.031842
chrXV	Peak772	480127	chrXV	480229	0.06625	-0.369948	0.093903	-0.134821	0.329766	0.123224	0.326092	-0.008789	-0.260874	-0.105285	4.00E-03	1.33E-01	2.73E-01	9.74E-01	0.12570599630173	-0.074441	-0.074441	-0.074441	-0.074441	-0.061694	-0.043294	-0.027461	0.002215	0.016899	0.030273
chrIX	PeakPP005	54300	chrIX	54300	-0.159565	0.300371	-0.324016	-0.181641	0.247021	-0.181055	0.233898	-0.094098	-0.01675	0.015686	2.00E-03	3.53E-01	2.12E-01	9.75E-01	0.047270850534014	-0.071232	-0.071232	-0.071232	-0.071232	-0.05895	-0.041307	-0.026145	0.002167	0.01629	0.029019
chrXII	Peak297	504200	chrXII	504284	-0.526808	-0.715711	-0.468479	-0.396522	-0.466531	-0.118462	0.035655	0.030314	-0.264016	0.027614	2.00E-05	2.56E-02	1.30E-01	8.21E-01	0.65147224910631	-0.522112	-0.522112	-0.522112	-0.522089	-0.436066	-0.308101	-0.196591	0.012213	0.115354	0.208741
chrVII	Peak377	677953	chrVII	677895	-0.468738	-0.689745	-0.309535	-0.334972	-0.181495	-0.133516	-0.013732	-0.087469	-0.16336	0.045307	5.00E-04	1.21E-02	9.65E-02	8.48E-01	1.38101938012116	-0.443075	-0.443075	-0.443075	-0.443075	-0.376033	-0.270316	-0.174111	0.006226	0.096674	0.17524
chrXV	Peak413	1039638	chrXV	1039529	-0.380382	-0.796011	-0.648709	-0.344354	-0.318762	-0.156568	0.005386	-0.103936	-0.107844	-0.032382	1.00E-02	1.15E-02	1.26E-01	8.18E-01	1.44646419060927	-0.530278	-0.530278	-0.530278	-0.530291	-0.450218	-0.323537	-0.208378	0.006571	0.114895	0.209708
chrVII	Peak493	974640	chrVII	974662	-0.564617	-0.617319	-0.267275	-0.359493	-0.457747	-0.036737	-0.067596	0.09337	-0.11598	0.049046	4.00E-03	1.38E-02	8.36E-02	8.47E-01	1.21109156409327	-0.444998	-0.444998	-0.444998	-0.444962	-0.376328	-0.269452	-0.173069	0.00701	0.097281	0.177011
chrXII	Peak496	586166	chrXII	586457	-0.152949	-0.359533	-0.126255	-0.159628	-0.129007	-0.039363	-0.080101	-0.060215	-0.119791	0.135308	4.00E-03	2.38E-02	3.09E-02	9.32E-01	0.699911335232053	-0.196653	-0.196653	-0.196653	-0.196659	-0.164889	-0.117115	-0.074804	0.004525	0.043841	0.079165
chrXIV	Peak507	772173	chrXIV	772274	-0.106013	-0.259688	-0.118176	-0.160457	-0.104702	0.080751	-0.037594	-0.249436	0.128995	0.037589	4.00E-03	1.25E-02	5.20E-02	9.45E-01	1.33061037226752	-0.159833	-0.159833	-0.159833	-0.159841	-0.135742	-0.097683	-0.063003	0.002201	0.035138	0.063836
chrVII	Peak524	599066	chrVII	599114	-0.302849	-0.305838	-0.127155	-0.171867	-0.242376	0.051303	0.021648	-0.018687	-0.177057	0.046091	4.00E-03	1.53E-02	5.50E-02	9.22E-01	1.08767036452837	-0.22476	-0.22476	-0.22476	-0.224759	-0.189984	-0.135915	-0.087396	0.003587	0.049573	0.089669
chrXIII	Peak549	388512	chrXIII	388523	-0.148918	-0.455919	0.052059	-0.300031	-0.050934	-0.078708	0.086384	0.109894	-0.044337	-0.027884	4.00E-03	2.87E-02	8.66E-02	9.30E-01	0.580587993974426	-0.200933	-0.200933	-0.200933	-0.200933	-0.168075	-0.118972	-0.075963	0.004963	0.045001	0.081087
chrXV	Peak558	654093	chrXV	654184	-0.214612	-0.215419	-0.056269	-0.122808	0.017813	0.051359	0.028821	-0.018631	-0.090064	-0.102238	4.00E-03	2.61E-02	4.89E-02	9.48E-01	0.639423884195731	-0.150713	-0.150713	-0.150713	-0.150708	-0.126229	-0.089517	-0.057176	0.003566	0.033815	0.060779
chrXIV	Peak576	198714	chrXIV	198712	-0.248965	-0.383702	-0.375549	-0.406972	-0.096563	-0.267052	0.308532	-0.109747	-0.114127	-0.27541	1.00E-02	2.09E-02	2.28E-01	8.78E-01	0.796855290282429	-0.352462	-0.352462	-0.352462	-0.352462	-0.295821	-0.210192	-0.134328	0.007654	0.078467	0.141369
chrXVI	Peak603	431932	chrXVI	431909	-0.467352	-0.666297	-0.345382	-0.376338	-0.194404	-0.051091	-7E-05	0.062045	-0.261109	-0.097621	4.00E-03	3.28E-02	1.56E-01	8.42E-01	0.508647568171236	-0.458533	-0.458533	-0.458533	-0.458541	-0.382253	-0.269622	-0.171471	0.011502	0.101989	0.184209
chrXII	Peak618	737925	chrXII	737835	-0.174083	-0.443774	-0.215483	-0.236104	-0.047372	-0.06631	-0.01758	-0.075221	-0.090918	-0.085366	2.00E-03	2.31E-02	6.34E-02	9.09E-01	0.721741927027849	-0.263684	-0.263684	-0.263684	-0.263695	-0.221065	-0.156989	-0.100393	0.005796	0.058881	0.106113
chrVII	Peak631	1070102	chrVII	1070067	-0.34878	-0.471266	-0.221631	-0.188083	-0.140013	0.007182	0.02505	-0.065401	-0.165532	0.022779	4.00E-03	1.48E-02	7.66E-02	8.95E-01	1.12247807239086	-0.30314	-0.30314	-0.30314	-0.303145	-0.256262	-0.183406	-0.117935	0.00507	0.066766	0.121116
chrII	Peak662	30407	chrII	29426	-0.094005	0.015421	-0.291447	-0.185935	-0.050678	-0.032153	-0.119986	-0.010874	0.016905	0.077467	4.00E-03	1.26E-02	2.57E-02	9.53E-01	1.32615617610824	-0.134546	-0.134546	-0.134546	-0.134551	-0.114274	-0.082179	-0.053055	0.001805	0.029601	0.053751
chrIV	Peak682	992071	chrIV	993016	-0.175249	-0.315506	-0.092251	-0.1733	-0.062376	-0.012706	0.027261	0.002319	-0.146469	-0.095514	4.00E-03	1.48E-02	5.17E-02	9.35E-01	1.12620374287057	-0.186864	-0.186864	-0.186864	-0.186867	-0.158146	-0.113266	-0.072836	0.003371	0.041296	0.074812
chrXVI	Peak686	214730	chrXVI	214861	-0.438908	-0.363152	-0.188848	-0.551143	-0.335537	0.113979	-0.040911	0.016089	-0.167894	-0.217233	4.00E-03	1.43E-02	1.69E-01	8.69E-01	1.16632983061159	-0.379441	-0.379441	-0.379441	-0.379442	-0.321	-0.229576	-0.147666	0.00632	0.083522	0.151253
chrXIII	Peak695	377730	chrXIII	378659	-0.09073	-0.210803	-0.053644	-0.212085	-0.124192	-0.048797	0.005748	-0.06381	-0.086572	0.100788	1.00E-02	1.14E-02	1.98E-02	9.51E-01	1.46405724815214	-0.140073	-0.140073	-0.140073	-0.140079	-0.119308	-0.086113	-0.055611	0.00181	0.030665	0.055839
chrX	Peak700	623209	chrX	623106	-0.153669	-0.290902	-0.150919	-0.23093	0.018554	-0.028404	0.011808	-0.025198	-0.099777	-0.141388	4.00E-03	1.53E-02	6.19E-02	9.29E-01	1.09067049186622	-0.205433	-0.205433	-0.205433	-0.205432	-0.173632	-0.124276	-0.079819	0.003604	0.045275	0.082186
chrVIII	Peak704	56107	chrVIII	55555	-0.245421	-0.377433	-0.490078	-0.184559	-0.282122	-0.086889	-0.035615	0.0918	-0.10367	0.083014	2.00E-03	1.49E-02	4.40E-02	8.90E-01	1.11551889811721	-0.31955	-0.31955	-0.31955	-0.319554	-0.270048	-0.193233	-0.124191	0.005547	0.070183	0.127279
chrXVI	Peak711	928154	chrXVI	927856	-0.052923	-0.200551	-0.17321	0.00883	-0.135222	0.082268	-0.070574	-0.044064	-0.052457	0.020712	4.00E-03	1.41E-02	2.78E-02	9.65E-01	1.18377854060467	-0.101906	-0.101906	-0.101906	-0.101897	-0.08634	-0.061949	-0.039822	0.001643	0.022639	0.040806
chrVIII	Peak716	55548	chrVIII	55555	-0.245421	-0.377433	-0.490078	-0.184559	-0.282122	-0.086889	-0.035615	0.0918	-0.10367	0.083014	2.00E-03	1.49E-02	4.40E-02	8.90E-01	1.11551889811721	-0.31955	-0.31955	-0.31955	-0.319554	-0.270048	-0.193233	-0.124191	0.005547	0.070183	0.127279
chrXV	Peak728	28027	chrXV	28998	-0.218452	-0.667683	0.090687	-0.041176	-0.227872	-0.026365	0.191701	0.129998	-0.225988	-0.201399	4.00E-03	2.03E-02	2.18E-01	9.37E-01	0.819369233176916	-0.182072	-0.182072	-0.182072	-0.182085	-0.153057	-0.108982	-0.069709	0.003998	0.040603	0.073144
chrIX	Peak736	386803	chrIX	386652	-0.009443	-0.090693	-0.386071	-0.366403	-0.006147	0.005786	0.029553	-0.104404	0.050825	-0.011265	4.00E-03	2.40E-02	7.36E-02	9.30E-01	0.695814038410048	-0.203621	-0.203621	-0.203621	-0.203626	-0.170727	-0.121193	-0.077527	0.004657	0.045498	0.082005
chrIV	Peak743	551218	chrIV	551154	-0.160467	-0.517377	-0.337773	-0.26472	-0.160512	0.128722	0.127098	-0.047434	-0.228956	0.133463	4.00E-03	2.82E-02	1.39E-01	8.92E-01	0.591499396552316	-0.314285	-0.314285	-0.314285	-0.314288	-0.262706	-0.185939	-0.118709	0.007579	0.070326	0.126543
chrXV	Peak748	877988	chrXV	878404	-0.370566	-0.30099	-0.110214	-0.134794	-0.199685	-0.076415	0.066826	-0.038937	-0.037061	0.070964	4.00E-03	1.24E-02	3.44E-02	9.22E-01	1.34447093052178	-0.224981	-0.224981	-0.224981	-0.225012	-0.191155	-0.137407	-0.088648	0.003241	0.049383	0.089704
chrIV	Peak757	386986	chrIV	386367	-0.272466	-0.345955	-0.24797	-0.104898	-0.164046	-0.012583	0.022655	-0.173124	-0.09926	0.09679	2.00E-03	1.48E-02	4.95E-02	9.17E-01	1.12849749586406	-0.240145	-0.240145	-0.240145	-0.24015	-0.203226	-0.145464	-0.093311	0.004136	0.052982	0.096091
chrIII	Peak763	299248	chrIII	299328	-0.339624	-0.400284	-0.474405	-0.199877	-0.136328	-0.222669	-0.029445	-0.099119	-0.019722	0.061607	1.00E-04	1.64E-02	3.93E-02	8.79E-01	1.01492776048679	-0.349996	-0.349996	-0.349996	-0.349955	-0.295029	-0.210704	-0.135208	0.006398	0.077473	0.139977
chrIV	Peak163	636281	chrIV	636191	-0.626	-0.94911	-0.854399	-0.527616	-0.342939	-0.23345	-0.053863	-0.079446	-0.219158	-0.15178	1.00E-02	9.65E-03	2.43E-01	7.52E-01	1.72652941241266	-0.72934	-0.72934	-0.72934	-0.729339	-0.621082	-0.447256	-0.288782	0.006199	0.155285	0.284389
chrVIII	Peak347	450872	chrVIII	451007	-0.494837	-0.578082	-0.547568	-0.264883	-0.435979	-0.080659	-0.10156	-0.085058	-0.157326	0.001769	1.00E-02	1.09E-02	8.81E-02	8.40E-01	1.53609123153042	-0.465971	-0.465971	-0.465971	-0.465975	-0.396631	-0.285697	-0.184427	0.005464	0.100869	0.184281
chrIV	Peak356	998526	chrIV	998584	-0.884897	-0.991671	-0.854743	-0.5117	-0.646265	-0.228748	-0.146638	-0.11471	-0.164576	0.060248	1.00E-02	9.06E-03	1.52E-01	7.30E-01	1.84030292858447	-0.799131	-0.799131	-0.799131	-0.799124	-0.68121	-0.491213	-0.316915	0.006296	0.168884	0.309769
chrXII	Peak458	568256	chrXII	567397	-0.377484	-0.434654	-0.436218	-0.301998	-0.166548	-0.230961	-0.115309	-0.04413	-0.125637	0.079021	2.00E-03	7.26E-03	3.78E-02	8.67E-01	2.29483666798344	-0.38654	-0.38654	-0.38654	-0.386548	-0.334273	-0.244757	-0.1595	0.000578	0.081852	0.151317
chrVII	Peak468	581800	chrVII	581790	-0.245851	-0.377641	-0.245693	-0.195042	-0.181425	-0.083717	0.01146	-0.132754	-0.004682	0.061641	1.00E-02	1.00E-02	2.64E-02	9.09E-01	1.66676517248836	-0.26449	-0.26449	-0.26449	-0.264489	-0.22614	-0.163645	-0.105954	0.002486	0.057444	0.104953
chrXI	Peak479	355214	chrXI	355435	-0.757252	-0.950798	-0.671849	-0.885014	-0.528849	-0.255526	-0.24556	-0.033397	-0.215947	0.003472	1.00E-02	9.90E-03	1.61E-01	7.26E-01	1.68351902884925	-0.812136	-0.812136	-0.812136	-0.812135	-0.690557	-0.495668	-0.319189	0.007576	0.172539	0.315675
chrXIV	Peak545	479332	chrXIV	479190	-0.559157	-0.494907	-0.519599	-0.252189	-0.414829	-0.052925	-0.030584	-0.169615	-0.22617	0.277724	1.00E-02	9.95E-03	1.11E-01	8.45E-01	1.67525199810656	-0.45132	-0.45132	-0.45132	-0.451319	-0.385508	-0.278413	-0.180221	0.004697	0.097094	0.178264
chrXV	Peak561	1043428	chrXV	1043357	-0.048275	-0.300086	-0.209925	-0.230474	-0.16609	-0.240512	-0.044989	0.075	-0.04883	0.241566	1.00E-02	7.94E-03	4.18E-02	9.33E-01	2.10020453892005	-0.194198	-0.194198	-0.194198	-0.194196	-0.167526	-0.122383	-0.079758	0.000704	0.041611	0.07673
chrIV	Peak628	652519	chrIV	652436	-0.274555	-0.675117	-0.340279	-0.273895	-0.373739	-0.102974	-0.065113	0.04588	-0.249673	-0.075635	1.00E-02	9.28E-03	1.12E-01	8.68E-01	1.79534071024468	-0.381781	-0.381781	-0.381781	-0.381787	-0.327157	-0.237039	-0.153689	0.003367	0.082282	0.150299
chrX	Peak598	617986	chrX	618183	-0.214	-0.384833	-0.178909	-0.284727	-0.200353	-0.175407	-0.063634	-0.001936	-0.015529	-0.013323	1.00E-04	4.91E-03	1.87E-02	9.09E-01	3.39313185323565	-0.263491	-0.263491	-0.263491	-0.263485	-0.232327	-0.174032	-0.115489	-0.003325	0.054415	0.101622
chrIV	Peak719	1523003	chrIV	1523892	-1.228758	-1.484894	-1.438126	-0.933383	-0.7895	-0.50704	-0.351517	0.067742	-0.19847	0.183394	2.00E-03	5.71E-03	2.14E-01	5.91E-01	2.92132025680275	-1.254432	-1.254432	-1.254432	-1.254429	-1.082726	-0.787057	-0.511343	-0.007848	0.248252	0.464806
chrIV	Peak530	461497	chrIV	461586	-0.382456	-0.487167	-0.52612	-0.31235	-0.367728	-0.199872	-0.136197	-0.006962	0.000815	-0.05284	4.00E-03	4.29E-03	3.90E-02	8.54E-01	3.88525022254713	-0.42454	-0.42454	-0.42454	-0.424511	-0.376788	-0.284337	-0.18992	-0.008309	0.085858	0.162166
chrV	Peak668	288582	chrV	288513	-0.298417	-0.358677	-0.362492	-0.124031	-0.234764	-0.239009	-0.02588	-0.035352	-0.046571	0.118488	4.00E-03	3.90E-03	2.40E-02	9.02E-01	4.27583953971442	-0.282586	-0.282586	-0.282586	-0.282585	-0.252422	-0.192067	-0.128691	-0.007126	0.056537	0.107724
chrXI	Peak708	147044	chrXI	146724	0.020095	0.056817	-0.183983	-0.015969	-0.075178	0.032103	-0.024697	-0.058505	0.199555	-0.153117	2.00E-03	3.72E-03	5.14E-02	9.90E-01	4.48208318620895	-0.027875	-0.027875	-0.027875	-0.027875	-0.024977	-0.019104	-0.012904	-0.00078	0.005569	0.010616
chrXV	Peak737	836858	chrXV	837030	-0.217918	-0.318661	-0.284955	-0.215144	-0.140835	-0.178541	-0.100341	-0.156816	0.00718	0.239784	1.00E-04	3.98E-03	2.86E-02	9.11E-01	4.18380247565634	-0.258491	-0.258491	-0.258491	-0.258491	-0.230581	-0.175251	-0.117408	-0.006221	0.051874	0.098724
chrX	Peak764	663177	chrX	663311	-0.209332	-0.266541	-0.207526	-0.208597	-0.325845	-0.105012	-0.012262	0.018826	-0.139433	0.064521	1.00E-04	4.72E-03	2.64E-02	9.23E-01	3.53214581178283	-0.222781	-0.222781	-0.222781	-0.222794	-0.196969	-0.147827	-0.098363	-0.003363	0.045566	0.086038
chrXIII	Peak380	325661	chrXIII	325540	-0.595602	-0.641994	-0.596249	-0.518305	-0.470357	-0.265596	-0.181466	-0.107405	-0.068212	0.069643	4.00E-03	3.57E-03	4.45E-02	7.99E-01	4.67158042181755	-0.58735	-0.58735	-0.58735	-0.587345	-0.526038	-0.402011	-0.271014	-0.017783	0.114893	0.220339
chrXVI	Peak597	810010	chrXVI	810632	-0.228025	-0.141477	-0.156217	-0.163043	-0.210188	-0.120206	-0.034843	0.023751	-0.067326	0.014597	2.00E-03	2.56E-03	1.02E-02	9.41E-01	6.4986961665881	-0.171812	-0.171812	-0.171812	-0.171808	-0.157221	-0.124359	-0.086688	-0.009262	0.031875	0.063322
chrXVI	Peak670	11475	chrXVI	11756	-0.135899	-0.744872	-0.655952	-0.322084	-0.304999	-0.300663	-0.103168	-0.048709	-0.108305	0.039187	2.00E-05	2.18E-03	9.84E-02	8.47E-01	7.6425780249897	-0.4435	-0.4435	-0.4435	-0.443562	-0.4091	-0.328701	-0.233422	-0.0314	0.078115	0.159468
chrVII	Peak689	739240	chrVII	739811	-0.299731	-0.477171	-0.399558	-0.123872	-0.175493	-0.249811	-0.119634	-0.081557	-0.049947	0.141127	2.00E-03	1.79E-03	3.56E-02	8.90E-01	9.31931186946701	-0.318955	-0.318955	-0.318955	-0.318665	-0.297302	-0.244214	-0.178271	-0.030171	0.052459	0.111821
chrXII	Peak729	677797	chrXII	677614	-0.180829	-0.302509	-0.227129	-0.054192	-0.10919	-0.219459	-0.064435	0.015781	-0.022338	0.036745	2.00E-03	1.80E-03	1.92E-02	9.35E-01	9.27900291546272	-0.188322	-0.188322	-0.188322	-0.188152	-0.175557	-0.144271	-0.105415	-0.017518	0.031083	0.06622
chrXIII	Peak739	915359	chrXIII	916336	-0.495936	-0.615716	-0.575591	-0.319608	-0.459895	-0.329112	-0.260391	-0.082142	0.131449	0.067804	4.00E-03	1.64E-03	2.22E-02	8.29E-01	10.1530676478591	-0.497157	-0.497157	-0.497157	-0.496697	-0.465068	-0.385094	-0.284309	-0.052873	0.07816	0.170871
chrXV	Peak512	1040794	chrXV	1040061	-0.626978	-0.628915	-0.7576	-0.537769	-0.409778	-0.418503	-0.222486	-0.075993	-0.011736	0.06023	1.00E-03	1.58E-03	4.11E-02	7.83E-01	10.5559992593911	-0.635703	-0.635703	-0.635703	-0.635128	-0.595131	-0.494204	-0.365459	-0.070495	0.097065	0.215706
chrXV	Peak486	770293	chrXV	770178	-0.228812	-0.414887	-0.302446	-0.179843	-0.356807	-0.185342	-0.151169	-0.067936	0.06375	0.083103	1.00E-04	1.36E-03	1.41E-02	9.04E-01	12.2969466681423	-0.278806	-0.278806	-0.278806	-0.278642	-0.26321	-0.222966	-0.169887	-0.038577	0.039002	0.09261
chrX	Peak677	36605	chrX	36824	-0.107062	-0.182984	-9.4E-05	-0.2332	-0.032796	-0.146093	-0.109627	-0.007699	-0.009608	0.124808	2.00E-05	1.36E-03	2.13E-02	9.56E-01	12.2419129311081	-0.128142	-0.128142	-0.128142	-0.128065	-0.12098	-0.102499	-0.078099	-0.017657	0.018034	0.042703
chrXV	Peak425	12254	chrXV	11628	-0.59131	-1.003309	-1.133328	-0.83087	-0.605996	-0.501378	-0.312268	-0.021099	-0.070004	0.041965	2.00E-05	1.23E-03	1.10E-01	7.06E-01	13.567508530571	-0.875243	-0.875243	-0.875243	-0.874955	-0.827818	-0.70348	-0.539227	-0.133079	0.109514	0.276658
chrII	Peak726	9677	chrII	8724	-0.835127	-0.840758	-0.983949	-0.580024	-0.662559	-0.479854	-0.32206	-0.091282	0.014941	0.066151	4.00E-03	1.22E-03	5.57E-02	7.29E-01	13.6159347829402	-0.802493	-0.802493	-0.802493	-0.80224	-0.759522	-0.646436	-0.496368	-0.123067	0.100542	0.254487
chrXV	Peak734	911962	chrXV	911784	-0.202694	-0.161739	-0.381626	-0.076323	-0.324552	-0.111502	-0.203304	0.011987	0.039817	0.019758	4.00E-03	1.09E-03	2.85E-02	9.30E-01	15.236186796869	-0.201362	-0.201362	-0.201362	-0.201371	-0.192015	-0.166354	-0.130897	-0.036339	0.022785	0.063025
chrIV	Peak423	1005395	chrIV	1005635	-0.348844	-0.272701	-0.319011	-0.309574	-0.198333	-0.190846	-0.251236	-0.030713	0.084861	-0.051955	2.00E-03	1.02E-03	1.93E-02	8.92E-01	16.416010600803	-0.312276	-0.312276	-0.312276	-0.312363	-0.298514	-0.260535	-0.207005	-0.061421	0.031668	0.094962
chrII	Peak485	260486	chrII	259555	-0.175454	-0.001836	-0.478457	-0.15157	-0.30426	-0.242945	-0.172715	0.048564	0.029707	-0.01072	1.00E-04	9.12E-04	5.51E-02	9.34E-01	18.2734993181061	-0.191725	-0.191725	-0.191725	-0.192026	-0.18427	-0.162346	-0.131326	-0.043229	0.015755	0.055813
chrV	Peak472	261818	chrV	261709	-0.337083	-0.218582	-0.450058	-0.326677	-0.329246	-0.069621	-0.142902	-0.197286	0.08324	-0.008891	1.00E-03	8.15E-04	4.07E-02	8.86E-01	20.4545106818773	-0.330776	-0.330776	-0.330776	-0.331248	-0.319037	-0.283951	-0.233189	-0.084272	0.019473	0.090513
